rank,token,image_url,score
62,Solluminati #3650,https://www.arweave.net/gZStE22Aj5B927YkJD_NMYaa1-M--1zW8poQXV8aoQg?ext=png,0.00000000000687152115%
63,Solluminati #32,https://www.arweave.net/BkGdcX6P2auB8JpCA27fbgnLNo7Z5oJXZBu05Ti7Byk?ext=png,0.00000000000693723266%
64,Solluminati #733,https://www.arweave.net/egT-eBQRW5_3ZQi9NVSJlvK3kyAJSHFMYMpsjN7ZLx0?ext=png,0.00000000000698986723%
65,Solluminati #1552,https://www.arweave.net/PGmIv6wyR3BqUNURzms2UB-B6sNmwafApfICOqtL0pI?ext=png,0.00000000000699380456%
66,Solluminati #66,https://www.arweave.net/02cO9ETbIcJaATw4Aj8JcP-Th6e1ecoiUnmwWx3tYLk?ext=png,0.00000000000724326926%
67,Solluminati #237,https://www.arweave.net/92J5HK-lv_QJ4vBBCXzAIdQ6ssqc5cT8GayECrh-Urw?ext=png,0.00000000000759124055%
68,Solluminati #1788,https://www.arweave.net/C5kO_XfFky91mwGTWRoQWqUl1XKTw6NfxpU1o5M-FZ4?ext=png,0.00000000000766174180%
69,Solluminati #2920,https://www.arweave.net/x8rl1R23JlldapFBtE9V9oCB8H56gat0LgADBKBOkaQ?ext=png,0.00000000000816584499%
70,Solluminati #2251,https://www.arweave.net/y5mHnhmDguDSQvZGQkkdcSSC22KXRKAdYupbnlmYrLI?ext=png,0.00000000000823874519%
71,Solluminati #585,https://www.arweave.net/8hXo2S0Om8GMKXUTaLTdzK24z0fn-IFgl82irbK-ahE?ext=png,0.00000000000826659539%
72,Solluminati #3449,https://www.arweave.net/mQwxTmsGjNnH_o3A8874IqfLMLKu_EukfM_pxHsZZP4?ext=png,0.00000000000862678769%
73,Solluminati #1932,https://www.arweave.net/huZs02Q3h4tbeutwzP49nCEpXc2Rrn9zlWfTwi3sEro?ext=png,0.00000000000867463686%
74,Solluminati #2747,https://www.arweave.net/qd7VTg_T-cTLmfWmB_0t0gbEkOdXL3WvE4MPx032Bdo?ext=png,0.00000000000869931998%
75,Solluminati #1685,https://www.arweave.net/WgStOzBx1VpADXf2hDSOzNozkw_xtKE21lr_IIL2p9o?ext=png,0.00000000000897600055%
76,Solluminati #331,https://www.arweave.net/ahKUkJnvdZlKPBKlVbarU27_IxFeeIbe9glUNU-MnJI?ext=png,0.00000000000943866761%
77,Solluminati #2356,https://www.arweave.net/Uew2_xE2PR71eZ6FKyoBJzgVHok57tED_hFMP4kekD4?ext=png,0.00000000000944364176%
78,Solluminati #1333,https://www.arweave.net/rXsg4Rx7DtSh_8oKtWLlYZmhcFEQBZU6gC-Eh_pPGB8?ext=png,0.00000000000947272455%
79,Solluminati #236,https://www.arweave.net/Zh8c4SILXQ4FvNdelomYf0zCXlbMZcaaVjHvmspe6ow?ext=png,0.00000000000956294769%
80,Solluminati #3560,https://www.arweave.net/PDICQZEUGpxCEXyNbQC5OtLpOsH7_xq70CKwk7bdPpA?ext=png,0.00000000000962697608%
81,Solluminati #2731,https://www.arweave.net/Nxu0_T0dk9ymBbdoHYP6lSZJiq14e3HghTlPFEJCVsY?ext=png,0.00000000001005506548%
82,Solluminati #1481,https://www.arweave.net/ex9JaqlsXJQ-2f2y8Mwozm3SN17lFQ_sdqJq_OvVC5c?ext=png,0.00000000001019455633%
83,Solluminati #1647,https://www.arweave.net/YNElX_ha_r9qQJZFYZTpMszIxInwbrzZUgrRNZoHtwg?ext=png,0.00000000001020524381%
84,Solluminati #3430,https://www.arweave.net/ekJfEY3snxKrrBye39NwrUSHsGYzIdHJcAHXLPY-Cnw?ext=png,0.00000000001036709249%
85,Solluminati #1432,https://www.arweave.net/h8EhKRlDWnJ3-sULHmX9voHF7j3ORFIl1jlIXhCC8Ac?ext=png,0.00000000001064904622%
